,keyword,id,rank,Filtered
650,no energy,iXO7n-j00Jc,12,True
652,no energy,rZEF7JF-onA,14,True
653,no energy,f1_MzAmmoJU,15,True
654,no energy,h-cbyxv1XlY,16,True
656,no energy,PvYtpuZbvUw,18,True
657,no energy,GqC60CAc7rM,19,True
661,no energy,ejkNXMiVfPU,23,True
664,tiredness,foWbC4m9Do0,1,True
665,tiredness,0hg_Nib6tZE,2,True
666,tiredness,zu1_2zvIokQ,3,True
667,tiredness,0regJQPVfyg,4,True
672,tiredness,hNB9DJzqKJY,10,True
673,tiredness,CEcd0KxfVOM,11,True
675,tiredness,Fq8hdWxLK-A,13,True
676,tiredness,ID4nnTGrkc8,14,True
677,tiredness,onj85q6J90U,15,True
678,tiredness,HAmedhO2Bc4,16,True
679,tiredness,uTNn6hPz9vo,17,True
680,tiredness,UE9XL48Dsq4,18,True
681,tiredness,DM2XFuzhEuU,19,True
682,tiredness,XPw2yk-Gahk,20,True
683,tiredness,Kn4gqggn8Zo,21,True
684,tiredness,QAhlsusSjMw,22,True
685,tiredness,9uAqjlkjY3o,23,True
686,tiredness,wq-64JAW6IU,24,True
688,teeth grinding,KI7OrF0UmU0,3,True
689,teeth grinding,u10oPsAUQiE,4,True
690,teeth grinding,hnprMwEJ3c0,7,True
691,teeth grinding,fJ2qK4OCXYs,8,True
692,teeth grinding,vt57AQOjmnc,10,True
695,teeth grinding,7JYESyDsr5Y,14,True
696,teeth grinding,2f5hZVHAJSI,15,True
697,teeth grinding,9zqRl6VD9R8,16,True
698,teeth grinding,uFfrybw1kGU,17,True
699,teeth grinding,Lc04_IOeFwE,18,True
701,teeth grinding,vGBdHn5WI6k,21,True
703,teeth grinding,Ph7Hc9HW8_o,23,True
704,teeth grinding,T5F1rIScQ9E,24,True
706,racing heart,XyMuRUJ4I4c,3,True
708,racing heart,p1WzJXp6p48,6,True
709,racing heart,Bel-N89GRgo,7,True
710,racing heart,tDmPCcNWVL8,8,True
712,racing heart,lHQHmBMY_iw,10,True
713,racing heart,Z8yTYsDoiAc,11,True
715,racing heart,HR06738Pm-E,13,True
717,racing heart,IrWSlQY_GTo,15,True
718,racing heart,HSaScfagsB8,16,True
720,racing heart,ubsgquO5a6s,18,True
721,racing heart,Eeerg7UrUGs,19,True
722,racing heart,OCe4aBhdJSo,20,True
723,racing heart,17o1Y4Prj3c,21,True
724,racing heart,WnAnhlD9WyQ,22,True
725,racing heart,IKHovtofhKM,23,True
726,racing heart,NIOIpwsXFCk,24,True
730,cognitive impairment,BHf5SBiwWYQ,3,True
731,cognitive impairment,jS7uH50t9Bk,4,True
732,cognitive impairment,L6ELvinufn0,5,True
733,cognitive impairment,WahVPX4CzSw,6,True
735,cognitive impairment,_AzrBKwtg1c,8,True
738,cognitive impairment,I-j9R8tH82A,11,True
742,cognitive impairment,1VV9e0CyfVU,15,True
744,cognitive impairment,KWfhJQmAIZs,17,True
746,cognitive impairment,_qi41DaFjXM,19,True
747,cognitive impairment,35DOHLtYXhI,20,True
749,cognitive impairment,zI6eKvahSms,22,True
750,cognitive impairment,fpZcufX_xeg,23,True
751,cognitive impairment,X0aToP-nPB8,24,True
752,cognitive impairment,MizMgO9f-KE,25,True
753,Irritability,PWYnWJ93ErE,1,True
754,Irritability,DWn1ON-Eck8,2,True
755,Irritability,BCoScvw_rgg,3,True
756,Irritability,yIyjQ_y0lGw,4,True
757,Irritability,p-I8eW6SNpY,5,True
758,Irritability,9bCulDExyug,6,True
763,Irritability,UQmWlXIYNpk,11,True
764,Irritability,rs1paD9IMTg,12,True
765,Irritability,TAMe3-wUs4A,13,True
766,Irritability,O-5hu_zPHUc,14,True
769,Irritability,4o2CKqlTMb0,17,True
770,Irritability,HaM8v-k8hXs,18,True
771,Irritability,Lk1wn0jjZR0,19,True
772,Irritability,S2Gu3P-ytd4,20,True
776,Irritability,eKLqFnAmK6c,24,True
778,Sleep Disorders,lu-pMXDZ8IA,4,True
779,Sleep Disorders,ffOSutP17mA,7,True
780,Sleep Disorders,l4-5F5jikQY,9,True
782,Sleep Disorders,pFa_KBL5z0Y,14,True
783,Sleep Disorders,qXxjhiELrlg,16,True
784,Sleep Disorders,gpI1aZY_9-M,17,True
785,Sleep Disorders,dxPf-DNfTlE,18,True
790,Sleep Disorders,rdCtXgtMWDQ,24,True
793,bruxism,Cj3GVRlrgEQ,2,True
794,bruxism,WJt_KLmbtgw,3,True
795,bruxism,Xs5NeHxLlsM,4,True
796,bruxism,K8H2eypGvSA,5,True
797,bruxism,AF9_yYAcByU,6,True
798,bruxism,RYDCqUWNvhU,7,True
799,bruxism,BJM7W-awL3Y,8,True
801,bruxism,AsfiSWg5W54,10,True
802,bruxism,L7Y8yJh5nak,11,True
803,bruxism,upIJpqWc0y4,12,True
806,bruxism,EiqFnzRSj2A,15,True
807,bruxism,HdlsSZJNzbk,16,True
808,bruxism,RPr3lk-6dMw,17,True
810,bruxism,YWxkS-9xdHQ,19,True
812,bruxism,xYh1NjD4uVo,21,True
813,bruxism,RNe_59BtK-k,22,True
815,bruxism,HIluYzbsers,24,True
819,ACROMEGALY,YDukypEU-ZM,3,True
820,ACROMEGALY,QxvqNJTJ9aA,4,True
821,ACROMEGALY,U5VVSCVJt_w,5,True
822,ACROMEGALY,wY8iGyf9Au4,6,True
823,ACROMEGALY,DAWYyBQJ8Jk,7,True
825,ACROMEGALY,OFl_bKVYsPo,9,True
828,ACROMEGALY,zhg1dcobM0U,12,True
829,ACROMEGALY,7_MSEcxZxLE,13,True
830,ACROMEGALY,1MJTkz02SaM,14,True
